Route_Name,Route_URL,Bus_Name,Bus_Type,Departure_Time,Arrival_Time,Duration,Fare,Rating,Seat_Availability
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Bihar state road transport corporation (BSRTC) - 152154,Volvo AC Seater 2+2,16:30,08:30,16h 00m,1020,3.2,47
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Panwar tour and Travels,A/C Seater / Sleeper (2+1),15:40,09:30,17h 50m,1199,3.2,36
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Rajdhani Express,A/C Seater / Sleeper (2+2),15:00,07:00,16h 00m,1294,1.0,30
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:20,10:50,14h 30m,1899,1.9,38
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Baba Khatushyam Travels Pvt Ltd,A/C Seater / Sleeper (3+1),19:00,11:49,16h 49m,1050,1.3,58
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Singh Express Bus Service,A/C Seater / Sleeper (2+2),15:00,10:00,19h 00m,1599,1.0,20
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+2),20:00,14:30,18h 30m,1079,1.2,72
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Panwar tour and Travels,A/C Seater / Sleeper (2+1),15:40,08:30,16h 50m,1499,3.2,38
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),18:15,08:10,13h 55m,2499,1.4,30
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),18:05,08:00,13h 55m,2499,1.4,14
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),17:40,08:30,14h 50m,2499,1.4,14
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),17:35,08:30,14h 55m,2499,1.4,14
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),18:15,08:00,13h 45m,2499,1.4,14
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),17:30,09:00,15h 30m,2499,1.4,16
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Rajdhani Express,A/C Seater / Sleeper (2+2),16:00,09:00,17h 00m,1387,1.0,21
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Bihar state road transport corporation (BSRTC) - 142944,Non AC Seater (2+2),06:00,11:00,05h 00m,285,3.6,34
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Bihar state road transport corporation (BSRTC) - 147264,AC Seater (2+2),06:30,12:35,06h 05m,331,3.1,42
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:30,16:00,06h 30m,500,3.5,60
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,05:00,06h 40m,550,3.7,54
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:00,12:30,05h 30m,416,1.0,42
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:12,12:30,05h 18m,416,1.0,42
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:20,12:30,05h 10m,416,1.0,41
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:25,12:45,05h 20m,416,1.0,42
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:32,12:50,05h 18m,416,1.0,42
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),07:37,13:00,05h 23m,416,1.0,42
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),08:12,13:30,05h 18m,416,1.0,42
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),08:41,13:50,05h 09m,416,1.0,42
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,02:00,05h 32m,463,1.9,6
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,03:40,06h 00m,350,2.5,51
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,04:00,05h 20m,416,2.7,28
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Bihar state road transport corporation (BSRTC) - 142944,Non AC Seater (2+2),06:00,10:30,04h 30m,230,3.8,34
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Bihar state road transport corporation (BSRTC) - 147264,AC Seater (2+2),06:30,10:30,04h 00m,275,3.9,41
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),21:20,01:00,03h 40m,230,3.1,33
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Saurabh Travels,A/C Seater Push Back (2+2),10:30,14:00,03h 30m,324,1.0,42
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),12:15,16:15,04h 00m,220,1.5,35
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Ramna Travels,NON A/C Seater (2+2),12:45,16:00,03h 15m,222,1.6,8
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),15:30,19:30,04h 00m,220,1.5,35
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:30,14:00,04h 30m,450,3.4,60
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),13:53,19:20,05h 27m,370,3.2,12
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,04:00,06h 00m,550,4.5,52
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,03:15,04h 55m,550,3.9,54
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Panwar Travels,A/C Sleeper (2+1),10:04,15:40,05h 36m,2800,2.8,26
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,23:30,03h 02m,463,1.2,6
Motihari to Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),18:20,10:50,16h 30m,1999,1.7,38
Motihari to Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi,Rajdhani Express,A/C Seater / Sleeper (2+2),15:00,09:00,18h 00m,1387,1.4,21
Motihari to Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi,Baba Khatushyam Travels Pvt Ltd,A/C Seater / Sleeper (3+1),17:35,11:49,18h 14m,1050,1.5,58
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Bihar state road transport corporation (BSRTC) - 146214,AC Seater (2+2),09:20,16:00,06h 40m,331,3.6,26
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Bihar state road transport corporation (BSRTC) - 146159,Non AC Seater (2+2),14:30,19:30,05h 00m,285,2.8,35
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,V.I.P Travels,A/C Seater / Sleeper (2+2),10:10,16:10,06h 00m,350,3.0,51
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),09:13,16:00,06h 47m,416,1.0,42
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:55,16:50,06h 55m,500,2.3,54
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:00,08:45,17h 45m,416,1.0,42
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:00,21:00,06h 00m,416,1.0,42
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:15,21:20,06h 05m,416,1.0,42
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:21,21:45,06h 24m,416,1.0,42
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:30,22:15,06h 45m,416,1.0,42
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:37,22:15,06h 38m,416,1.0,42
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),21:55,05:31,07h 36m,550,2.3,40
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:00,05:00,07h 00m,463,1.9,10
Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari,Rajdhani Express,A/C Seater / Sleeper (2+2),15:50,10:00,18h 10m,1849,1.1,28
Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari,Travel Point World LLP,A/C Seater / Sleeper (2+2),14:30,07:00,16h 30m,1699,1.6,46
Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari,Travel Point World LLP,A/C Seater / Sleeper (2+2),16:00,08:01,16h 01m,1699,1.3,46
Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna,Bihar state road transport corporation (BSRTC) - 146214,AC Seater (2+2),06:00,16:00,10h 00m,428,3.9,26
Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),18:30,05:00,10h 30m,463,2.3,10
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Bihar state road transport corporation (BSRTC) - 147264,AC Seater (2+2),06:30,15:30,09h 00m,428,4.1,42
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,06:00,09h 32m,463,3.4,6
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,07:00,08h 20m,416,3.1,28
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,05:40,08h 15m,468,3.6,36
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Aitiana Airwings,Benz A/C Sleeper (2+1),21:00,06:00,09h 00m,585,4.2,20
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),22:10,06:35,08h 25m,600,4.2,18
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Raj Bus Services,A/C Seater / Sleeper (2+1),19:25,05:05,09h 40m,463,4.1,22
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,AITIANA CRUISELINERS,A/C Seater / Sleeper (2+1),21:15,06:15,09h 00m,500,4.0,8
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,MAA KAMAKHYA DREAMLINER,A/C Seater / Sleeper (2+1),20:40,05:00,08h 20m,495,3.7,30
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Divya Rath,A/C Sleeper (2+1),20:45,05:45,09h 00m,601,4.1,15
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Sadhvi Rath,A/C Seater / Sleeper (2+1),20:20,06:20,10h 00m,495,3.1,31
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,AITIANA CRUISELINERS,Bharat Benz A/C Seater /Sleeper (2+1),20:20,05:30,09h 10m,500,3.9,8
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Hawa Hawai,A/C Seater / Sleeper (2+1),20:00,05:00,09h 00m,540,3.2,13
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Shatabdi Travels,A/C Seater / Sleeper (2+1),21:00,06:00,09h 00m,540,2.8,33
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Meera Travels (Yvts),A/C Seater / Sleeper (2+1),20:30,05:30,09h 00m,600,3.5,51
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Maa Satyabhama Rath,A/C Seater / Sleeper (2+1),21:00,06:00,09h 00m,600,3.6,31
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Raj Bus Services,A/C Seater / Sleeper (2+2),16:06,03:35,11h 29m,555,3.6,12
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea,Raj Bus Services,A/C Seater / Sleeper (2+1),16:55,03:05,10h 10m,463,3.6,20
