Route_Name,Route_URL,Bus_Name,Bus_Type,Departure_Time,Arrival_Time,Duration,Fare,Rating,Seat_Availability
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 174534,Express Non AC Seater 2+3,05:45,12:00,06h 15m,INR 299,4.2,"42 Seats available
15 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 158798,Super Luxury Volvo AC Seater Pushback 2+2,06:01,11:00,04h 59m,INR 602,4.3,"33 Seats available
14 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 146395,Express Non AC Seater 2+3,06:45,14:00,07h 15m,INR 299,4.2,"42 Seats available
15 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 174533,Express Non AC Seater 2+3,08:45,16:00,07h 15m,INR 299,4.2,"42 Seats available
15 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 188347,Super Luxury Volvo AC Seater Pushback 2+2,11:30,16:30,05h 00m,INR 602,4.2,"33 Seats available
14 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 190115,Express Non AC Seater 2+3,12:00,19:30,07h 30m,INR 294,4.2,"42 Seats available
15 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 169076,Express Non AC Seater 2+3,12:10,00:00,11h 50m,INR 299,4.2,"42 Seats available
15 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 184043,Express Non AC Seater 2+3,12:45,19:00,06h 15m,INR 299,4.2,"42 Seats available
15 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 183203,Express Non AC Seater 2+3,13:30,19:30,06h 00m,INR 299,4.2,"42 Seats available
15 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 183141,Express Non AC Seater 2+3,14:35,21:00,06h 25m,INR 294,1.2,"42 Seats available
15 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 192831,Express Non AC Seater 2+3,15:00,21:00,06h 00m,INR 285,4.2,"42 Seats available
15 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 157454,Super Luxury Volvo AC Seater Pushback 2+2,16:00,21:00,05h 00m,INR 602,4.1,"30 Seats available
13 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 193271,Express Non AC Seater 2+3,19:30,02:00,06h 30m,INR 294,4.2,"41 Seats available
14 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 189622,Express Non AC Seater 2+3,22:00,05:00,07h 00m,INR 294,3.5,"42 Seats available
15 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),17:00,21:30,04h 30m,INR 550,4.5,"18 Seats available
4 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,M R Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),17:10,21:55,04h 45m,INR 600,4.4,"51 Seats available
23 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,M R Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),06:00,10:25,04h 25m,INR 600,4.6,"50 Seats available
22 Window"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,AdKalpana Travels,NON AC Seater / Sleeper 2+1,22:00,04:54,06h 54m,INR 300,3.7,"38 Seats available
12 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),06:15,10:45,04h 30m,INR 550,4.3,"20 Seats available
6 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Jain travels regd,A/C Seater / Sleeper (2+1),21:30,04:30,07h 00m,INR 460,4.0,"37 Seats available
11 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),12:50,17:20,04h 30m,INR 550,4.0,"23 Seats available
7 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,04:30,06h 30m,INR 457,3.9,"40 Seats available
12 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Raj Travel,A/C Sleeper (2+1),22:30,05:30,07h 00m,INR 560,4.4,"27 Seats available
9 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,M R Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),05:00,10:00,05h 00m,INR 600,4.4,"40 Seats available
11 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Jain travels regd,A/C Seater / Sleeper (2+1),13:45,19:45,06h 00m,INR 450,3.5,"40 Seats available
12 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Jain travels regd,NON AC Seater / Sleeper 2+1,22:00,04:00,06h 00m,INR 350,3.4,"45 Seats available
8 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Raj Travel,Bharat Benz A/C Seater (2+1),17:30,22:30,05h 00m,INR 470,3.9,"22 Seats available
6 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Gajraj Travels,NON A/C Seater/ Sleeper (2+1),04:00,09:00,05h 00m,INR 400,3.9,"40 Seats available
12 Single"
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Rishabh Travels Milan,A/C Seater / Sleeper (2+1),21:00,02:15,05h 15m,INR 667,3.5,"28 Seats available
6 Single"
